id,lat,lng,seq
M040875,40.833017,-73.945503,110001
M040875,40.834286,-73.944586,110002
M040875,40.834286,-73.944586,120001
M040875,40.835547,-73.943672,120002
M040875,40.835547,-73.943672,130001
M040875,40.836767,-73.942765,130002
M040875,40.836767,-73.942765,140001
M040875,40.838033,-73.941836,140002
M040875,40.838033,-73.941836,150001
M040875,40.838372,-73.941579,150002
M040875,40.839112,-73.941039,150003
M040875,40.839202,-73.941219,150004
M040875,40.839712,-73.942179,150005
M040875,40.840182,-73.943069,150006
M040875,40.840578,-73.942912,150007
M040875,40.840578,-73.942912,160001
M040875,40.842425,-73.942161,160002
M040875,40.842425,-73.942161,170001
M040875,40.842622,-73.942079,170002
M040875,40.842802,-73.942009,170003
M040875,40.843072,-73.941899,170004
M040875,40.843432,-73.941639,170005
M040875,40.844042,-73.941139,170006
M040875,40.844342,-73.940942,170007
M040875,40.844342,-73.940942,180001
M040875,40.845716,-73.940367,180002
M040875,40.845716,-73.940367,190001
M040875,40.846841,-73.939912,190002
M040875,40.846841,-73.939912,200001
M040875,40.846992,-73.939849,200002
M040875,40.847202,-73.939779,200003
M040875,40.847832,-73.939519,200004
M040875,40.847922,-73.939489,200005
M040875,40.847922,-73.939489,210001
M040875,40.848192,-73.939399,210002
M040875,40.848662,-73.939249,210003
M040875,40.848852,-73.939179,210004
M040875,40.848942,-73.939139,210005
M040875,40.849092,-73.939059,210006
M040875,40.849162,-73.939019,210007
M040875,40.849292,-73.938949,210008
M040875,40.849682,-73.938779,210009
M040875,40.849982,-73.938649,210010
M040875,40.850902,-73.938279,210011
M040875,40.851220,-73.938160,210012
M040875,40.851220,-73.938160,220001
M040875,40.852409,-73.937723,220002
M040875,40.852409,-73.937723,230001
M040875,40.853652,-73.937338,230002
M040875,40.853652,-73.937338,240001
M040875,40.855098,-73.936886,240002
M040875,40.855098,-73.936886,250001
M040875,40.855422,-73.936789,250002
M040875,40.855702,-73.936639,250003
M040875,40.857102,-73.935599,250004
M040875,40.857365,-73.935404,250005
M040875,40.857365,-73.935404,260001
M040875,40.858422,-73.934619,260002
M040875,40.858672,-73.934459,260003
M040875,40.859018,-73.934250,260004
M040876,40.746644,-73.983771,10001
M040876,40.748361,-73.982514,10002
M040876,40.748361,-73.982514,20001
M040876,40.753377,-73.978850,20002
M040876,40.753377,-73.978850,30001
M040876,40.757784,-73.975647,30002
M040876,40.757784,-73.975647,40001
M040876,40.762890,-73.971914,40002
M040876,40.762890,-73.971914,50001
M040876,40.768849,-73.967569,50002
M040876,40.768849,-73.967569,60001
M040876,40.771834,-73.965383,60002
M040876,40.771834,-73.965383,70001
M040876,40.777486,-73.961273,70002
M040876,40.777486,-73.961273,80001
